"apgcode","occurrences"
"gun_2111","20445"
"gun_1847","20305"
"gun_3769","20294"
"gun_1879","20286"
"gun_3761","20010"
"gun_1861","19936"
"gun_2063","19596"
"gun_1391","19140"
"gun_9283","19050"
"gun_2741","19028"
"gun_1789","19005"
"gun_5428","18904"
"gun_1831","18760"
"gun_1999","18492"
"gun_5612","18224"
"gun_1741","17958"
"gun_3697","17810"
"gun_2162","17556"
"gun_3187","17238"
"gun_1709","17120"
"gun_3673","17018"
"gun_1823","16891"
"gun_1811","16492"
"gun_3463","16482"
"gun_1759","16359"
"gun_4502","16320"
"gun_4553","16065"
"gun_1723","15912"
"gun_5623","15494"
"gun_2393","15240"
"gun_3617","15240"
"gun_1747","15232"
"gun_1729","15189"
"gun_31","14820"
"gun_3593","14508"
"gun_1777","14400"
"gun_1889","14160"
"gun_9847","13983"
"gun_1873","13923"
"gun_17","13824"
"gun_2417","13775"
"gun_2053","13563"
"gun_2819","13516"
"gun_1039","13455"
"gun_1267","13432"
"gun_2017","13298"
"gun_2803","13284"
"gun_1031","13224"
"gun_2438","12769"
"gun_1937","12744"
"gun_1333","12408"
"gun_1171","12350"
"gun_3634","12312"
"gun_1993","12192"
"gun_1109","12024"
"gun_1049","11926"
"gun_1951","11880"
"gun_7268","11872"
"gun_1909","11830"
"gun_1961","11830"
"gun_2273","11696"
"gun_1801","11662"
"gun_1055","11340"
"gun_3290","11259"
"gun_1258","11236"
"gun_1769","11232"
"gun_2209","10824"
"gun_1249","10773"
"gun_2023","10752"
"gun_6579","10744"
"gun_8213","10744"
"gun_5715","10716"
"gun_1699","10710"
"gun_2504","10676"
"gun_3139","10608"
"gun_1721","10602"
"gun_2161","10578"
"gun_1252","10519"
"gun_1226","10496"
"gun_2071","10368"
"gun_1181","10355"
"gun_1667","10296"
"gun_1871","10148"
"gun_1673","9990"
"gun_41","9990"
"gun_29","9964"
"gun_1637","9944"
"gun_38","9831"
"gun_1102","9805"
"gun_1094","9804"
"gun_1657","9790"
"gun_1621","9744"
"gun_5440","9724"
"gun_1994","9694"
"gun_1619","9690"
"gun_18","9664"
"gun_4890","9600"
"gun_1641","9592"
"gun_6806","9516"
"gun_1978","9490"
"gun_1753","9434"
"gun_1186","9396"
"gun_2317","9387"
"gun_4634","9387"
"gun_1589","9350"
"gun_3196","9345"
"gun_4170","9324"
"gun_1054","9271"
"gun_1838","9250"
"gun_1111","9248"
"gun_14","9240"
"gun_7380","9240"
"gun_1571","9213"
"gun_5250","9112"
"gun_1609","9102"
"gun_1487","9047"
"gun_1471","8964"
"gun_4606","8901"
"gun_4020","8874"
"gun_1733","8856"
"gun_1066","8820"
"gun_1577","8820"
"gun_1714","8778"
"gun_3916","8775"
"gun_1541","8774"
"gun_5336","8736"
"gun_1886","8712"
"gun_6750","8704"
"gun_1561","8632"
"gun_1655","8631"
"gun_3310","8631"
"gun_5320","8624"
"gun_6859","8600"
"gun_1481","8549"
"gun_1493","8528"
"gun_1669","8528"
"gun_2668","8528"
"gun_7282","8528"
"gun_1477","8446"
"gun_4350","8424"
"gun_5200","8424"
"gun_1051","8382"
"gun_4763","8372"
"gun_9870","8249"
"gun_8262","8200"
"gun_5600","8160"
"gun_9750","8132"
"gun_5790","8100"
"gun_3930","8094"
"gun_4171","8092"
"gun_5547","8092"
"gun_2116","8066"
"gun_6080","8051"
"gun_2660","8036"
"gun_6640","8023"
"gun_6776","8019"
"gun_9720","8001"
"gun_7140","7980"
"gun_1330","7938"
"gun_3990","7938"
"gun_2622","7920"
"gun_7650","7920"
"gun_1182","7904"
"gun_1007","7872"
"gun_5840","7844"
"gun_8760","7844"
"gun_8320","7840"
"gun_8010","7832"
"gun_9999","7828"
"gun_1021","7812"
"gun_1406","7811"
"gun_1022","7772"
"gun_5910","7725"
"gun_1460","7696"
"gun_2920","7696"
"gun_4380","7696"
"gun_991","7688"
"gun_3570","7668"
"gun_5625","7659"
"gun_4316","7650"
"gun_1009","7626"
"gun_1013","7626"
"gun_1019","7626"
"gun_983","7626"
"gun_4002","7614"
"gun_4760","7560"
"gun_7170","7548"
"gun_1322","7546"
"gun_2401","7544"
"gun_1006","7524"
"gun_503","7524"
"gun_997","7502"
"gun_1702","7470"
"gun_1306","7469"
"gun_1434","7469"
"gun_3285","7452"
"gun_1001","7442"
"gun_989","7440"
"gun_1274","7425"
"gun_3388","7425"
"gun_2300","7424"
"gun_7800","7410"
"gun_5456","7395"
"gun_1418","7392"
"gun_1358","7384"
"gun_1436","7384"
"gun_1003","7381"
"gun_967","7381"
"gun_9920","7380"
"gun_5430","7350"
"gun_7500","7345"
"gun_1389","7314"
"gun_5920","7310"
"gun_4960","7290"
"gun_3750","7260"
"gun_1244","7252"
"gun_1450","7242"
"gun_479","7227"
"gun_1126","7216"
"gun_1388","7210"
"gun_3948","7200"
"gun_2046","7189"
"gun_2456","7178"
"gun_974","7168"
"gun_5310","7161"
"gun_7446","7144"
"gun_977","7140"
"gun_949","7130"
"gun_1414","7125"
"gun_5000","7119"
"gun_4653","7104"
"gun_1300","7098"
"gun_3900","7098"
"gun_943","7080"
"gun_979","7080"
"gun_7560","7072"
"gun_941","7068"
"gun_2444","7062"
"gun_1075","7047"
"gun_961","7020"
"gun_971","7020"
"gun_8520","7008"
"gun_1198","7000"
"gun_1346","6993"
"gun_1426","6969"
"gun_4980","6968"
"gun_9960","6968"
"gun_953","6960"
"gun_973","6960"
"gun_1995","6958"
"gun_1334","6956"
"gun_2380","6930"
"gun_4829","6930"
"gun_8550","6930"
"gun_958","6930"
"gun_985","6930"
"gun_2860","6901"
"gun_919","6900"
"gun_965","6900"
"gun_1222","6887"
"gun_1246","6887"
"gun_5850","6882"
"gun_9180","6882"
"gun_887","6864"
"gun_6180","6862"
"gun_2094","6858"
"gun_911","6840"
"gun_937","6840"
"gun_947","6840"
"gun_6800","6834"
"gun_1196","6831"
"gun_821","6831"
"gun_829","6831"
"gun_2440","6825"
"gun_1284","6816"
"gun_3210","6816"
"gun_4280","6816"
"gun_1058","6808"
"gun_969","6806"
"gun_2008","6804"
"gun_2212","6804"
"gun_4160","6800"
"gun_5460","6800"
"gun_1331","6794"
"gun_833","6790"
"gun_871","6784"
