"apgcode","occurrences"
"guntrue_5333","13780"
"guntrue_2417","13775"
"guntrue_4231","13764"
"guntrue_4271","13764"
"guntrue_6247","13764"
"guntrue_4861","13755"
"guntrue_8893","13755"
"guntrue_8783","13750"
"guntrue_8887","13750"
"guntrue_6571","13734"
"guntrue_8819","13734"
"guntrue_2021","13728"
"guntrue_6661","13728"
"guntrue_3529","13716"
"guntrue_7673","13716"
"guntrue_1759","13696"
"guntrue_4157","13696"
"guntrue_4973","13696"
"guntrue_5021","13696"
"guntrue_5081","13696"
"guntrue_5261","13696"
"guntrue_2239","13674"
"guntrue_7687","13674"
"guntrue_8677","13674"
"guntrue_4987","13650"
"guntrue_7759","13650"
"guntrue_2861","13640"
"guntrue_2887","13640"
"guntrue_2897","13640"
"guntrue_6907","13640"
"guntrue_6911","13640"
"guntrue_6967","13640"
"guntrue_6997","13640"
"guntrue_7019","13640"
"guntrue_9419","13640"
"guntrue_9521","13640"
"guntrue_9601","13640"
"guntrue_4409","13625"
"guntrue_4441","13625"
"guntrue_4519","13625"
"guntrue_4567","13625"
"guntrue_6203","13625"
"guntrue_6263","13625"
"guntrue_6581","13624"
"guntrue_4993","13608"
"guntrue_8923","13608"
"guntrue_5653","13568"
"guntrue_5779","13568"
"guntrue_5821","13568"
"guntrue_7607","13568"
"guntrue_7717","13568"
"guntrue_7877","13568"
"guntrue_8117","13568"
"guntrue_2053","13563"
"guntrue_8669","13545"
"guntrue_3593","13520"
"guntrue_4229","13520"
"guntrue_2063","13516"
"guntrue_6607","13516"
"guntrue_6563","13500"
"guntrue_2099","13482"
"guntrue_7817","13462"
"guntrue_1789","13454"
"guntrue_3037","13440"
"guntrue_3613","13440"
"guntrue_3677","13440"
"guntrue_3709","13440"
"guntrue_4909","13440"
"guntrue_4957","13440"
"guntrue_5101","13440"
"guntrue_5701","13440"
"guntrue_5813","13440"
"guntrue_5869","13440"
"guntrue_7789","13440"
"guntrue_7949","13440"
"guntrue_3061","13416"
"guntrue_4931","13416"
"guntrue_6421","13416"
"guntrue_2837","13407"
"guntrue_2851","13407"
"guntrue_2857","13407"
"guntrue_6311","13407"
"guntrue_6793","13407"
"guntrue_6833","13407"
"guntrue_6899","13407"
